Time,Day,Date,T.Max,T.Min,Rain,Evap,Radn,VP,RHmaxT,RHminT,Soil_Temperature
19750101,1,1/1/1975,35.3,25.4,0,5.5,11.7,32.9,57.5,100,29.23
19750102,2,2/1/1975,35.7,23.2,17.4,4.2,18.1,30.6,52.4,100,28.03
19750103,3,3/1/1975,35.9,25.2,0,6.1,14.9,31.6,53.5,98.6,29.34
19750104,4,4/1/1975,33.5,23,28.6,4.7,17,28.3,54.7,100,27.06
19750105,5,5/1/1975,33.3,25.2,0,5.2,8.9,28.4,55.5,88.6,28.33
19750106,6,6/1/1975,35.3,24.4,5.8,6.1,23.5,31.7,55.4,100,28.62
19750107,7,7/1/1975,35.2,25.6,0,6.9,21.6,30.4,53.5,92.6,29.31
19750108,8,8/1/1975,36,24.8,19,4.9,19.4,33.3,56,100,29.13
19750109,9,9/1/1975,35.1,23.7,7.4,3.9,9.3,31.9,56.4,100,28.11
19750110,10,10/1/1975,34.3,24.2,10.8,4.7,10.5,31.8,58.8,100,28.11
19750111,11,11/1/1975,34,25,0,4.6,9.5,31.7,59.6,100,28.48
19750112,12,12/1/1975,32.7,23.6,4.8,4,10.2,31.5,63.7,100,27.12
19750113,13,13/01/1975,27.9,23.1,91.4,4.2,7.7,28.1,74.8,99.5,24.96
19750114,14,14/01/1975,30.7,21.7,79.2,4.7,6.9,29.5,66.8,100,25.18
19750115,15,15/01/1975,34.8,20.3,17.8,7,23.6,21.8,39.2,91.6,25.91
19750116,16,16/01/1975,35.9,21.7,0,6.8,16.5,31.6,53.5,100,27.19
19750117,17,17/01/1975,36,22,12.6,7.9,17.4,31.7,53.4,100,27.41
19750118,18,18/01/1975,36.4,21.6,1,8,19.8,29.6,48.7,100,27.32
19750119,19,19/01/1975,36.9,22.6,0,8.3,24.6,30,48.1,100,28.13
19750120,20,20/01/1975,38,22.6,0,7.2,26.7,28.5,43,100,28.56
19750121,21,21/01/1975,36.3,23.5,0,7.6,24.5,29.7,49.2,100,28.45
19750122,22,22/01/1975,37.2,23.3,0,6.7,25.3,27,42.6,94.4,28.68
19750123,23,23/01/1975,38,24.6,0,9.7,25.3,30,45.3,97,29.78
19750124,24,24/01/1975,37.7,25.7,0,9.2,24.6,30,46,90.9,30.34
19750125,25,25/01/1975,35.9,25.4,0,7,18.8,30,50.8,92.5,29.46
19750126,26,26/01/1975,33.7,22.6,0,5,19.6,26.7,51,97.4,26.89
19750127,27,27/01/1975,37.6,24.2,0,7.3,23.4,28.1,43.3,93.1,29.38
19750128,28,28/01/1975,38.2,23.6,0,7,25.3,28.1,42,96.5,29.25
19750129,29,29/01/1975,37.8,22.8,0,6.7,25.5,28.3,43.2,100,28.6
19750130,30,30/01/1975,36.2,23.7,0,5.6,21.3,29.7,49.4,100,28.53
19750131,31,31/01/1975,37.5,23.1,0,6.1,16.5,26.9,41.7,95.2,28.67
19750201,32,1/2/1975,35.8,23.6,0,7.5,12.7,28.1,47.8,96.5,28.32
19750202,33,2/2/1975,36.2,23.6,0.3,5.6,22.9,27.2,45.3,93.4,28.47
19750203,34,3/2/1975,36.2,22.8,0,6.7,24.4,24.3,40.5,87.6,27.98
19750204,35,4/2/1975,36.7,22.9,0,7.7,23.3,26.7,43.2,95.7,28.24
19750205,36,5/2/1975,36.5,20.8,0,7.7,25.4,26.6,43.6,100,26.87
19750206,37,6/2/1975,36.5,22.7,0,7.3,20,26.1,42.7,94.6,28.04
19750207,38,7/2/1975,37.4,23.3,0,7.6,24.3,28.2,44,98.6,28.75
19750208,39,8/2/1975,36,24.3,0,4.8,21.5,28,47.1,92.2,28.82
19750209,40,9/2/1975,35.9,23.9,0,5.7,19.8,26.7,45.2,90.1,28.54
19750210,41,10/2/1975,34.2,23.5,14.2,6.5,8.5,26.7,49.6,92.2,27.64
19750211,42,11/2/1975,33.7,24.2,0.8,5.9,9.5,31.3,59.8,100,27.87
19750212,43,12/2/1975,31.9,23.3,39.2,3.8,7.6,29.7,62.8,100,26.63
19750213,44,13/02/1975,29.7,24.1,16.6,4.3,7.4,29.8,71.5,99.3,26.27
19750214,45,14/02/1975,30.6,22.2,34.8,3.4,7,31.1,70.8,100,25.45
19750215,46,15/02/1975,29,23.3,8.6,5.4,8.4,28.2,70.4,98.6,25.5
19750216,47,16/02/1975,26,23.7,1.8,3.4,7.1,29.9,89,100,24.59
19750217,48,17/02/1975,30.6,22.4,20,3,7,28.3,64.4,100,25.57
19750218,49,18/02/1975,30.7,23,8.4,3.7,7.3,28.4,64.3,100,25.98
19750219,50,19/02/1975,32.7,23.4,0.6,3.6,7.6,29.7,60,100,27
19750220,51,20/02/1975,33.1,23.4,6.6,4.4,7.3,31.4,62.1,100,27.15
19750221,52,21/02/1975,34.4,23.5,20.8,3.1,7.3,29.8,54.8,100,27.72
19750222,53,22/02/1975,32.6,22.4,75.2,2.8,7.2,28.1,57.1,100,26.34
19750223,54,23/02/1975,32.6,23.8,0,4.2,6.9,30.1,61.2,100,27.2
19750224,55,24/02/1975,31.5,22.9,24,5.8,7.3,31.4,67.9,100,26.23
19750225,56,25/02/1975,33.1,24.4,6.8,4.5,12,31.4,62.1,100,27.76
19750226,57,26/02/1975,33.7,24.3,0.5,3.8,14.1,31.4,60,100,27.94
19750227,58,27/02/1975,33.2,24,0.4,5.1,13.6,31.7,62.3,100,27.56
19750228,59,28/02/1975,34.6,23.1,11.4,4.2,21.4,28.9,52.5,100,27.55
19750301,60,1/3/1975,34.5,25.4,0,4.6,20.1,29.8,54.5,91.9,28.92
19750302,61,2/3/1975,34.3,23.4,0,5.5,18.7,28.3,52.3,98.4,27.62
19750303,62,3/3/1975,36.2,23.1,0,5.9,21.3,28,46.6,99.1,28.17
19750304,63,4/3/1975,35.2,22.9,0,5.6,20.4,29.7,52.2,100,27.66
19750305,64,5/3/1975,35.1,22.9,0,6.2,22.7,26.9,47.6,96.4,27.62
19750306,65,6/3/1975,35,23.4,0,6.1,19.2,28.2,50.1,98,27.89
19750307,66,7/3/1975,35.4,23.5,0,5.2,14.9,28.1,48.9,97.1,28.1
19750308,67,8/3/1975,34.9,23.9,0,4.3,16.9,30.6,54.7,100,28.15
19750309,68,9/3/1975,34.7,23.3,0,5.3,15.8,29.8,53.9,100,27.71
19750310,69,10/3/1975,34.5,23.1,0,4.7,13.3,28.3,51.7,100,27.51
19750311,70,11/3/1975,34.1,24.7,0,4.4,8.2,28.4,53.1,91.3,28.34
19750312,71,12/3/1975,33,24.4,0.2,5.6,6.9,29.8,59.2,97.5,27.73
19750313,72,13/03/1975,29.3,24.2,5.8,4.3,7,28.1,69,93.1,26.17
19750314,73,14/03/1975,32.1,23.5,8.8,3.1,11.4,28.5,59.6,98.5,26.83
19750315,74,15/03/1975,33.1,23.9,1.2,3,11.4,28.5,56.3,96.1,27.46
19750316,75,16/03/1975,33.8,24.8,0,4.2,16.4,30,57,95.9,28.28
19750317,76,17/03/1975,34.5,24.3,0,3.6,9.3,31.6,57.8,100,28.24
19750318,77,18/03/1975,33.9,24.3,4.8,4.9,19.6,31.6,59.7,100,28.01
19750319,78,19/03/1975,34.3,25.3,0.1,4.2,11.6,30,55.5,93.1,28.78
19750320,79,20/03/1975,32.6,24.5,2.6,6,16.6,31.8,64.7,100,27.63
19750321,80,21/03/1975,32.4,22.9,25.8,7.1,9.2,29.1,59.8,100,26.57
19750322,81,22/03/1975,31.5,21.6,0,5.1,9.3,21.1,45.7,81.8,25.43
19750323,82,23/03/1975,32.2,20.7,0,4.4,17.2,27.6,57.4,100,25.15
19750324,83,24/03/1975,34,22.2,0,5.3,19.7,25,47,93.5,26.76
19750325,84,25/03/1975,34.5,20.4,0,5.5,17.4,22.3,40.8,93.1,25.85
19750326,85,26/03/1975,35,22.3,0,5.6,7.8,26.7,47.5,99.2,27.21
19750327,86,27/03/1975,35.2,22.8,0,5.3,16.2,26.8,47.1,96.6,27.6
19750328,87,28/03/1975,36.6,23.9,0,6.1,14.1,28.1,45.8,94.8,28.81
19750329,88,29/03/1975,37.3,24.1,0,5.9,18,30.1,47.2,100,29.2
19750330,89,30/03/1975,33.7,25.6,0,5.1,7.2,30.2,57.7,92,28.73
19750331,90,31/03/1975,33.3,25,0,3,12.5,31.9,62.4,100,28.21
19750401,91,1/4/1975,31.5,22.8,51.6,4.2,6.9,29.7,64.3,100,26.16
