Date,Day,Date2,T.Max,Smx,T.Min,Smn,Rain,Srn,Evap,Sev,Radn,Ssl,VP,Svp,RHmaxT,RHminT,FAO56,Mlake,Mpot,Mact,Mwet,Span,Ssp,EvSp,Ses,MSLPres,Sp
(yyyymmdd),(),(ddmmyyyy),(oC),(),(oC),(),(mm),(),(mm),(),(MJ/m2),(),(hPa),(),(%),(%),(mm),(mm),(mm),(mm),(mm),(mm),(),(mm),(),(hPa),()
20231212,346,12-12-2023,36.3,0,25.3,0,1.6,0,5.5,25,23.1,42,31.3,0,51.8,97.1,5.9,7.4,8.4,6.0,7.2,6.8,26,5.5,25,1007.1,0
20231213,347,13-12-2023,37.1,0,25.2,0,8.6,0,7.9,25,28.5,42,32.8,0,52.0,100.0,6.9,9.1,9.5,8.1,8.8,7.4,26,7.9,25,1007.2,0
20231214,348,14-12-2023,37.2,0,25.4,0,0.0,0,6.1,25,23.5,42,32.2,0,50.8,99.3,6.1,7.6,8.6,6.2,7.4,7.1,26,6.1,25,1007.3,0
20231215,349,15-12-2023,33.7,0,24.5,0,6.4,0,6.9,25,16.8,42,32.1,0,61.4,100.0,4.2,5.3,5.7,4.6,5.2,5.2,26,6.9,25,1006.4,0
20231216,350,16-12-2023,33.5,0,22.3,0,33.0,0,6.6,25,19.0,42,28.4,0,54.9,100.0,4.7,5.9,6.5,4.9,5.7,5.8,26,6.6,25,1007.4,0
20231217,351,17-12-2023,37.1,0,24.1,0,15.0,0,9.1,25,28.0,42,32.8,0,52.0,100.0,6.7,8.8,9.0,8.0,8.5,7.3,26,9.1,25,1007.6,0
20231218,352,18-12-2023,37.4,0,25.1,0,0.0,0,9.0,25,28.2,42,35.7,0,55.7,100.0,6.7,9.1,8.9,8.7,8.8,7.1,26,9.0,25,1008.5,0
20231219,353,19-12-2023,37.1,0,27.2,0,0.0,0,9.9,25,27.8,42,36.9,0,58.5,100.0,6.7,9.1,9.1,8.5,8.8,6.9,26,9.9,25,1007.9,0
20231220,354,20-12-2023,35.4,0,27.7,0,0.0,0,7.9,25,20.4,42,36.7,0,63.8,98.8,5.1,6.6,6.9,5.9,6.4,5.7,26,7.9,25,1008.7,0
20231221,355,21-12-2023,36.1,0,27.1,0,0.0,0,6.1,25,21.6,42,30.4,0,50.9,84.8,5.9,7.1,8.8,5.1,7.0,6.9,26,6.1,25,1009.6,0
20231222,356,22-12-2023,38.1,0,25.0,0,0.0,0,7.8,25,27.3,42,30.6,0,45.9,96.6,7.0,8.6,9.9,6.8,8.3,8.0,26,7.8,25,1011.1,0
20231223,357,23-12-2023,37.4,0,25.5,0,0.0,0,10.6,25,28.5,42,36.9,0,57.5,100.0,6.7,9.2,8.9,8.9,8.9,7.0,26,10.6,25,1010.8,0
20231224,358,24-12-2023,36.9,0,27.0,0,0.0,0,9.6,25,23.1,42,36.9,0,59.1,100.0,5.8,7.5,7.8,6.8,7.3,6.4,26,9.6,25,1009.5,0
20231225,359,25-12-2023,35.8,0,22.5,0,27.4,0,9.6,25,26.1,42,36.3,0,61.8,100.0,5.6,8.1,7.8,7.8,7.8,6.1,26,9.6,25,1008.0,0
20231226,360,26-12-2023,32.9,0,23.4,0,7.4,0,10.9,25,19.1,42,32.4,0,64.8,100.0,4.3,5.9,5.7,5.7,5.7,5.1,26,10.9,25,1010.9,0
20231227,361,27-12-2023,36.8,0,25.1,0,0.0,0,8.1,25,26.8,42,34.6,0,55.7,100.0,6.4,8.6,8.6,8.0,8.3,6.9,26,8.1,25,1012.6,0
20231228,362,28-12-2023,37.7,0,24.6,0,0.0,0,7.3,25,28.3,42,34.4,0,52.8,100.0,6.8,9.1,9.2,8.5,8.8,7.4,26,7.3,25,1012.7,0
20231229,363,29-12-2023,38.2,0,27.0,0,0.0,0,7.7,25,25.9,42,36.7,0,54.8,100.0,6.5,8.5,8.9,7.6,8.3,7.2,26,7.7,25,1011.0,0
20231230,364,30-12-2023,37.4,0,24.5,0,1.2,0,9.2,25,27.1,42,30.4,0,47.4,98.9,6.8,8.5,9.5,6.9,8.2,7.7,26,9.2,25,1010.2,0
20231231,365,31-12-2023,38.1,0,26.6,0,0.0,0,9.8,25,26.8,42,35.4,0,53.1,100.0,6.7,8.8,9.3,7.8,8.5,7.4,26,9.8,25,1011.2,0
20240101,1,1-01-2024,38.8,0,27.2,0,0.0,0,8.4,25,27.3,42,34.8,0,50.3,96.5,7.1,9.1,10.0,7.6,8.8,7.8,26,8.4,25,1011.0,0
20240102,2,2-01-2024,37.0,0,24.8,0,0.0,0,8.8,25,28.6,42,28.3,0,45.1,90.4,7.1,8.8,10.2,6.7,8.5,8.0,26,8.8,25,1008.9,0
20240103,3,3-01-2024,37.1,0,24.9,0,0.0,0,6.0,25,23.2,42,31.7,0,50.2,100.0,6.0,7.5,8.5,6.1,7.3,7.1,26,6.0,25,1010.3,0
20240104,4,4-01-2024,37.0,0,24.8,0,0.0,0,7.0,25,25.0,42,30.9,0,49.2,98.7,6.3,7.9,8.9,6.4,7.7,7.3,26,7.0,25,1010.9,0
20240105,5,5-01-2024,37.1,0,24.2,0,14.2,0,7.1,25,27.6,42,31.3,0,49.6,100.0,6.7,8.6,9.3,7.4,8.3,7.5,26,7.1,25,1010.5,0
20240106,6,6-01-2024,36.1,0,26.0,0,0.0,0,7.9,25,24.5,42,36.1,0,60.4,100.0,5.8,7.9,7.8,7.5,7.6,6.4,26,7.9,25,1010.3,0
20240107,7,7-01-2024,33.4,0,24.7,0,12.0,0,5.6,25,17.6,42,31.9,0,62.0,100.0,4.4,5.6,6.0,4.9,5.4,5.3,26,5.6,25,1011.2,0
20240108,8,8-01-2024,35.8,0,24.7,0,0.4,0,8.0,25,24.7,42,32.1,0,54.6,100.0,6.0,7.8,8.2,6.9,7.6,6.8,26,8.0,25,1008.9,0
20240109,9,9-01-2024,33.7,0,25.4,0,9.6,0,11.0,25,16.3,42,32.2,0,61.6,99.3,4.3,5.2,5.9,4.3,5.1,5.3,26,11.0,25,1007.6,0
20240110,10,10-01-2024,33.1,0,25.0,0,7.2,0,5.7,25,20.2,42,34.6,0,68.4,100.0,4.5,6.3,6.1,6.1,6.1,5.2,26,5.7,25,1007.5,0
20240111,11,11-01-2024,31.4,0,25.7,0,5.4,0,5.1,25,13.6,42,29.5,0,64.2,89.4,3.8,4.4,5.4,3.2,4.3,4.8,26,5.1,25,1006.5,0
20240112,12,12-01-2024,32.9,0,24.1,0,23.2,0,5.5,25,14.2,42,32.1,0,64.2,100.0,3.6,4.4,4.8,3.9,4.3,4.8,26,5.5,25,1004.1,0
20240113,13,13-01-2024,33.0,0,24.2,0,30.4,0,6.6,25,18.1,42,32.6,0,64.8,100.0,4.3,5.6,5.6,5.3,5.5,5.2,26,6.6,25,1003.0,0
20240114,14,14-01-2024,30.4,0,25.7,0,5.4,0,9.5,25,6.3,42,32.2,0,74.2,97.5,2.1,2.0,2.6,1.4,2.0,3.4,26,9.5,25,1002.0,0
20240115,15,15-01-2024,27.2,0,24.7,0,84.4,0,6.2,25,1.0,42,31.7,0,87.9,100.0,0.7,0.3,0.3,0.3,0.3,2.2,26,6.2,25,999.2,0
20240116,16,16-01-2024,31.1,0,24.5,0,98.2,0,5.6,25,15.6,42,32.2,0,71.3,100.0,3.6,4.8,4.7,4.7,4.7,4.5,26,5.6,25,998.3,0
