Number,Station name,Latitude,Longitud
1005,WYNDHAM PORT,-15.464,128.100
1006,WYNDHAM AERO,-15.510,128.150
1009,KURI BAY,-15.488,124.522
1010,THEDA,-14.789,126.496
1012,MITCHELL PLATEAU,-14.793,125.826
1013,WYNDHAM,-15.487,128.124
1018,MOUNT ELIZABETH,-16.418,126.103
1019,KALUMBURU,-14.296,126.645
1021,KALUMBURU MISSION,-14.296,126.643
1025,DOONGAN,-15.380,126.311
2000,ALICE DOWNS,-17.757,127.939
2001,ARGYLE DOWNS,-16.504,128.917
2002,BOHEMIA DOWNS,-18.883,126.233
2005,CARLTON HILL,-15.486,128.534
2007,DUNHAM RIVER STATION,-16.317,128.250
2008,FLORA VALLEY OLD,-18.317,128.000
2011,OLD HALLS CREEK,-18.252,127.782
2012,HALLS CREEK METEOROLOGICAL OFFICE,-18.229,127.664
2013,IVANHOE STATION,-15.690,128.683
2014,KIMBERLEY RES.STATION,-15.655,128.709
2015,LAMBOO,-18.409,127.355
2016,LISSADELL,-16.674,128.553
2017,LOUISA DOWNS,-18.711,126.711
2018,MABEL DOWNS,-17.179,128.122
2019,MARGARET RIVER STATION,-18.625,126.862
2020,MOOLA BULLA,-18.189,127.501
2021,MOUNT AMHURST,-18.387,126.989
2026,RUBY PLAINS,-18.596,127.642
2031,TEXAS DOWNS,-17.010,128.467
2032,WARMUN,-17.015,128.217
2038,KUNUNURRA,-15.783,128.735
2041,ORD RIVER REGENERATION STATION,-17.385,128.923
2044,LAKE ARGYLE RESORT,-16.112,128.741
2050,SPRINGVALE,-17.784,127.685
2056,KUNUNURRA AERO,-15.781,128.710
2064,ARGYLE AERODROME,-16.638,128.452
3000,BEAGLE BAY,-16.981,122.666
3003,BROOME AIRPORT,-17.948,122.235
3004,CAPE LEVEQUE,-16.396,122.928
3005,FAIRFIELD STATION,-17.573,125.067
3008,ELLENDALE,-17.928,124.811
3012,LIVERINGA UPPER,-18.048,124.173
3014,GOGO STATION,-18.291,125.587
3015,MEDA,-17.368,123.996
3016,MOUNT ANDERSON,-18.036,123.929
3017,MOUNT HOUSE STATION,-17.052,125.705
3018,MYROODAH,-18.122,124.269
3019,NAPIER DOWNS,-17.331,124.817
3021,NOONKANBAH,-18.488,124.823
3022,QUANBUN DOWNS,-18.382,125.227
3023,ROEBUCK PLAINS,-17.931,122.472
3024,UDIALLA,-17.946,123.738
3026,YEEDA,-17.615,123.648
3028,ANNA PLAINS,-19.254,121.486
3029,FRAZIER DOWNS,-18.798,121.713
3030,BIDYADANGA,-18.684,121.780
3032,DERBY AERO,-17.371,123.661
3033,BLINA,-17.747,124.528
3040,CAMBALLIN,-17.990,124.192
3043,CHRISTMAS CREEK HOMESTEAD,-18.877,125.921
3051,MOUNT BARNETT,-16.737,125.909
3052,MOUNT HART STATION,-16.821,124.915
3056,THANGOO,-18.179,122.358
3057,CYGNET BAY,-16.451,123.009
3059,NITA DOWNS,-19.086,121.676
3063,CHARNLEY RIVER,-16.716,125.460
3068,DAMPIER DOWNS,-18.508,123.456
3069,KOOLAN ISLAND,-16.131,123.776
3078,CADJEBUT,-18.727,125.987
3080,CURTIN AERO,-17.577,123.830
3093,FITZROY CROSSING AERO,-18.181,125.562
4000,ABYDOS,-21.417,118.933
4002,PORT HEDLAND POST OFFICE,-20.314,118.574
4003,BALFOUR DOWNS,-22.800,120.862
4004,BAMBOO CREEK,-20.926,120.207
4005,BAMBOO SPRINGS,-22.052,119.632
4007,BOODARIE,-20.400,118.467
4008,CARLINDIE,-20.639,119.243
4009,COONGAN STATION,-20.683,119.667
4010,COOYA POOYA,-21.033,117.133
4011,CORUNNA DOWNS,-21.467,119.833
4014,EGINBAH,-20.850,119.767
4015,HILLSIDE STATION,-21.722,119.399
4019,MANDORA,-19.742,120.843
4020,MARBLE BAR COMPARISON,-21.176,119.750
4021,MOUNT EDGAR,-21.312,120.059
4022,MUCCAN,-20.633,120.086
4024,MUNDABULLANGANA,-20.519,118.060
4025,NIMINGARRA,-20.500,119.800
4026,NOREENA DOWNS,-22.291,120.176
4027,NULLAGINE,-21.886,120.110
4028,PARDOO STATION,-20.108,119.581
4030,PILGA,-21.400,119.400
4032,PORT HEDLAND AIRPORT,-20.372,118.632
4033,PYRAMID STATION,-21.056,117.444
4037,TALGA TALGA,-21.050,120.000
4038,WALLAREENYA,-20.748,118.817
4039,WARAMBIE,-20.948,117.373
4040,WARRALONG,-20.647,119.587
4041,WARRAWAGINE,-20.851,120.696
4045,ABYDOS WOODSTOCK,-21.620,118.955
4046,YARRIE,-20.674,120.204
4047,TABBA TABBA,-20.833,118.900
4054,COSSACK,-20.678,117.189
4057,LALLA ROOKH,-20.883,119.150
4059,MALLINA,-20.882,118.031
4068,WALLAL DOWNS,-19.779,120.642
4079,YANDEE,-21.363,118.878
4082,CAPE LAMBERT,-20.615,117.163
4083,KARRATHA AERO,-20.710,116.774
4084,SHAY GAP,-20.496,120.167
4090,ROEBOURNE AERO,-20.759,117.158
4093,STRELLEY PUMPING STATION,-20.329,119.188
4097,DAMPIER PORT,-20.617,116.752
4106,MARBLE BAR,-21.176,119.750
5000,BOOLALOO,-22.583,115.850
